museum_name,country,total_artworks,displayed,display_rate
Van Gogh Museum,Netherlands,3,3,100.0
Stedelijk Museum,Netherlands,2,2,100.0
National Gallery,UK,2,2,100.0
Metropolitan Museum of Art,USA,5,5,100.0
Museo del Prado,Spain,1,1,100.0
Musée du Louvre,France,7,7,100.0
Museo Nacional Centro de Arte Reina Sofía,Spain,1,1,100.0
Musée d'Orsay,France,4,4,100.0
State Russian Museum,Russia,3,3,100.0
Museum Berggruen,Germany,2,2,100.0
Museum of Modern Art (MoMA),USA,6,6,100.0
Rijksmuseum,Netherlands,2,1,50.0
